t	N(t)	N(t) / t^2
2	3	0.75
3	5	0.555556
4	7	0.4375
5	10	0.4
6	15	0.416667
7	18	0.367347
8	22	0.34375
9	28	0.345679
10	34	0.34
11	38	0.31405
12	46	0.319444
13	54	0.319527
14	59	0.30102
15	67	0.297778
16	76	0.296875
17	86	0.297578
18	95	0.29321
19	105	0.290859
20	115	0.2875
21	126	0.285714
22	136	0.280992
23	151	0.285444
24	163	0.282986
25	175	0.28
26	188	0.278107
27	204	0.279835
28	216	0.27551
29	231	0.274673
30	248	0.275556
31	263	0.273673
32	278	0.271484
33	295	0.270891
34	314	0.271626
35	331	0.270204
36	349	0.26929
37	368	0.268809
38	387	0.268006
39	405	0.266272
40	428	0.2675
41	449	0.267103
42	468	0.265306
43	490	0.265008
44	513	0.264979
45	536	0.264691
46	558	0.263705
47	583	0.26392
48	606	0.263021
49	630	0.262391
50	656	0.2624
51	683	0.262591
52	709	0.262204
53	735	0.261659
54	762	0.261317
55	790	0.261157
56	819	0.261161
57	848	0.261003
58	878	0.260999
59	906	0.26027
60	934	0.259444
61	966	0.259608
62	998	0.259625
63	1030	0.259511
64	1062	0.259277
65	1093	0.258698
66	1125	0.258264
67	1160	0.258409
68	1195	0.258434
69	1231	0.258559
70	1264	0.257959
71	1299	0.257687
72	1337	0.257909
73	1373	0.257647
74	1410	0.257487
75	1449	0.2576
76	1486	0.257271
77	1522	0.256704
78	1563	0.256903
79	1603	0.25685
80	1643	0.256719
81	1682	0.256363
82	1723	0.256246
83	1764	0.25606
84	1807	0.256094
85	1849	0.255917
86	1893	0.255949
87	1933	0.255384
88	1977	0.255294
89	2023	0.255397
90	2068	0.255309
91	2113	0.255162
92	2159	0.25508
93	2205	0.254943
94	2250	0.25464
95	2299	0.254737
96	2346	0.254557
97	2396	0.25465
98	2442	0.254269
99	2492	0.25426
100	2542	0.2542
